CATEGORY_ID,CATEGORY_NAME,PRODUCT_ID,PRODUCT_NAME,DESCRIPTION,Speed(GHz),Cores,TDP(W),STANDARD_COST,LIST_PRICE,COUNTRY_ID,REGION_ID,LOCATION_ID,WAREHOUSE_ID,QUANTITY,WAREHOUSE_NAME,ADDRESS,POSTAL_CODE,CITY,STATE,COUNTRY_NAME
1,CPU,8,Intel Xeon E5-1650 V4,"Speed:3.6GHz,Cores:6,TDP:140W",3.6,6,140,535.47,601.99,CN,3,11,8,50,Beijing,40-5-12 Laogianggen,190518,Beijing,Shenzhen,China
1,CPU,8,Intel Xeon E5-1650 V4,"Speed:3.6GHz,Cores:6,TDP:140W",3.6,6,140,535.47,601.99,IN,3,12,9,36,Bombay,1298 Vileparle (E),490231,Bombay,Maharashtra,India
1,CPU,8,Intel Xeon E5-1650 V4,"Speed:3.6GHz,Cores:6,TDP:140W",3.6,6,140,535.47,601.99,US,2,6,2,97,San Francisco,2011 Interiors Blvd,99236,South San Francisco,California,United States of America
1,CPU,8,Intel Xeon E5-1650 V4,"Speed:3.6GHz,Cores:6,TDP:140W",3.6,6,140,535.47,601.99,US,2,8,4,67,"Seattle, Washington",2004 Charade Rd,98199,Seattle,Washington,United States of America
1,CPU,8,Intel Xeon E5-1650 V4,"Speed:3.6GHz,Cores:6,TDP:140W",3.6,6,140,535.47,601.99,AU,3,13,6,30,Sydney,12-98 Victoria Street,2901,Sydney,New South Wales,Australia
1,CPU,124,Intel Xeon E5-1650 V4 (OEM/Tray),"Speed:3.6GHz,Cores:6,TDP:140W",3.6,6,140,453.14,594.99,CN,3,11,8,26,Beijing,40-5-12 Laogianggen,190518,Beijing,Shenzhen,China
1,CPU,124,Intel Xeon E5-1650 V4 (OEM/Tray),"Speed:3.6GHz,Cores:6,TDP:140W",3.6,6,140,453.14,594.99,IN,3,12,9,11,Bombay,1298 Vileparle (E),490231,Bombay,Maharashtra,India
1,CPU,124,Intel Xeon E5-1650 V4 (OEM/Tray),"Speed:3.6GHz,Cores:6,TDP:140W",3.6,6,140,453.14,594.99,US,2,6,2,184,San Francisco,2011 Interiors Blvd,99236,South San Francisco,California,United States of America
1,CPU,124,Intel Xeon E5-1650 V4 (OEM/Tray),"Speed:3.6GHz,Cores:6,TDP:140W",3.6,6,140,453.14,594.99,US,2,8,4,103,"Seattle, Washington",2004 Charade Rd,98199,Seattle,Washington,United States of America
1,CPU,124,Intel Xeon E5-1650 V4 (OEM/Tray),"Speed:3.6GHz,Cores:6,TDP:140W",3.6,6,140,453.14,594.99,AU,3,13,6,59,Sydney,12-98 Victoria Street,2901,Sydney,New South Wales,Australia
1,CPU,72,Intel Xeon E5-2630 V3 (OEM/Tray),"Speed:2.4GHz,Cores:8,TDP:85W",2.4,8,85,421.9,589.99,CN,3,11,8,50,Beijing,40-5-12 Laogianggen,190518,Beijing,Shenzhen,China
1,CPU,72,Intel Xeon E5-2630 V3 (OEM/Tray),"Speed:2.4GHz,Cores:8,TDP:85W",2.4,8,85,421.9,589.99,IN,3,12,9,35,Bombay,1298 Vileparle (E),490231,Bombay,Maharashtra,India
1,CPU,72,Intel Xeon E5-2630 V3 (OEM/Tray),"Speed:2.4GHz,Cores:8,TDP:85W",2.4,8,85,421.9,589.99,US,2,6,2,155,San Francisco,2011 Interiors Blvd,99236,South San Francisco,California,United States of America
1,CPU,72,Intel Xeon E5-2630 V3 (OEM/Tray),"Speed:2.4GHz,Cores:8,TDP:85W",2.4,8,85,421.9,589.99,US,2,8,4,77,"Seattle, Washington",2004 Charade Rd,98199,Seattle,Washington,United States of America
1,CPU,72,Intel Xeon E5-2630 V3 (OEM/Tray),"Speed:2.4GHz,Cores:8,TDP:85W",2.4,8,85,421.9,589.99,AU,3,13,6,35,Sydney,12-98 Victoria Street,2901,Sydney,New South Wales,Australia
1,CPU,80,Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",3.5,6,140,399.77,564.89,CN,3,11,8,41,Beijing,40-5-12 Laogianggen,190518,Beijing,Shenzhen,China
1,CPU,80,Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",3.5,6,140,399.77,564.89,IN,3,12,9,29,Bombay,1298 Vileparle (E),490231,Bombay,Maharashtra,India
1,CPU,80,Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",3.5,6,140,399.77,564.89,US,2,5,1,125,"Southlake, Texas",2014 Jabberwocky Rd,26192,Southlake,Texas,United States of America
